freq : 83.33 MHz
SWR : 2.18
 Theta 	 Phi 	 Gain(dB) 	 Gain 
155 	 40 	 -5.62   	 0.27
160 	 40 	 -7.18   	 0.19
165 	 40 	 -9.38   	 0.12
170 	 40 	 -12.70   	 0.05
175 	 40 	 -18.62   	 0.01
180 	 40 	 -57.17   	 0.00
0 	 45 	 -57.17   	 0.00
5 	 45 	 -18.54   	 0.01
10 	 45 	 -12.68   	 0.05
15 	 45 	 -9.38   	 0.12
20 	 45 	 -7.19   	 0.19
25 	 45 	 -5.64   	 0.27
30 	 45 	 -4.52   	 0.35
35 	 45 	 -3.70   	 0.43
40 	 45 	 -3.06   	 0.49
45 	 45 	 -2.51   	 0.56
50 	 45 	 -1.96   	 0.64
55 	 45 	 -1.34   	 0.73
60 	 45 	 -0.62   	 0.87
65 	 45 	 0.15   	 1.04
70 	 45 	 0.92   	 1.24
75 	 45 	 1.59   	 1.44
80 	 45 	 2.11   	 1.63
85 	 45 	 2.44   	 1.75
90 	 45 	 2.55   	 1.80
95 	 45 	 2.44   	 1.75
100 	 45 	 2.12   	 1.63
105 	 45 	 1.60   	 1.45
110 	 45 	 0.93   	 1.24
115 	 45 	 0.16   	 1.04
120 	 45 	 -0.61   	 0.87
125 	 45 	 -1.33   	 0.74
130 	 45 	 -1.95   	 0.64
135 	 45 	 -2.50   	 0.56
140 	 45 	 -3.04   	 0.50
145 	 45 	 -3.68   	 0.43
150 	 45 	 -4.51   	 0.35
155 	 45 	 -5.64   	 0.27
160 	 45 	 -7.19   	 0.19
165 	 45 	 -9.39   	 0.12
170 	 45 	 -12.71   	 0.05
175 	 45 	 -18.63   	 0.01
180 	 45 	 -57.17   	 0.00
0 	 50 	 -57.17   	 0.00
5 	 50 	 -18.56   	 0.01
10 	 50 	 -12.69   	 0.05
15 	 50 	 -9.39   	 0.12
20 	 50 	 -7.20   	 0.19
25 	 50 	 -5.66   	 0.27
30 	 50 	 -4.54   	 0.35
35 	 50 	 -3.71   	 0.43
40 	 50 	 -3.07   	 0.49
45 	 50 	 -2.52   	 0.56
50 	 50 	 -1.97   	 0.64
55 	 50 	 -1.34   	 0.73
60 	 50 	 -0.62   	 0.87
65 	 50 	 0.16   	 1.04
70 	 50 	 0.92   	 1.24
75 	 50 	 1.59   	 1.44
80 	 50 	 2.11   	 1.63
85 	 50 	 2.44   	 1.75
90 	 50 	 2.55   	 1.80
95 	 50 	 2.44   	 1.75
100 	 50 	 2.11   	 1.63
105 	 50 	 1.60   	 1.45
110 	 50 	 0.92   	 1.24
115 	 50 	 0.16   	 1.04
120 	 50 	 -0.61   	 0.87
125 	 50 	 -1.33   	 0.74
130 	 50 	 -1.95   	 0.64
135 	 50 	 -2.50   	 0.56
140 	 50 	 -3.05   	 0.50
145 	 50 	 -3.69   	 0.43
150 	 50 	 -4.53   	 0.35
155 	 50 	 -5.65   	 0.27
160 	 50 	 -7.20   	 0.19
165 	 50 	 -9.41   	 0.11
170 	 50 	 -12.72   	 0.05
175 	 50 	 -18.64   	 0.01
180 	 50 	 -57.17   	 0.00
0 	 55 	 -57.17   	 0.00
5 	 55 	 -18.58   	 0.01
10 	 55 	 -12.71   	 0.05
15 	 55 	 -9.41   	 0.11
20 	 55 	 -7.22   	 0.19
25 	 55 	 -5.67   	 0.27
30 	 55 	 -4.55   	 0.35
35 	 55 	 -3.72   	 0.42
40 	 55 	 -3.08   	 0.49
45 	 55 	 -2.52   	 0.56
50 	 55 	 -1.97   	 0.64
55 	 55 	 -1.34   	 0.73
60 	 55 	 -0.62   	 0.87
65 	 55 	 0.16   	 1.04
70 	 55 	 0.92   	 1.24
75 	 55 	 1.59   	 1.44
80 	 55 	 2.11   	 1.63
85 	 55 	 2.44   	 1.75
90 	 55 	 2.55   	 1.80
95 	 55 	 2.44   	 1.75
100 	 55 	 2.11   	 1.63
105 	 55 	 1.59   	 1.44
110 	 55 	 0.92   	 1.24
115 	 55 	 0.16   	 1.04
120 	 55 	 -0.61   	 0.87
125 	 55 	 -1.33   	 0.74
130 	 55 	 -1.96   	 0.64
135 	 55 	 -2.51   	 0.56
140 	 55 	 -3.06   	 0.49
145 	 55 	 -3.71   	 0.43
150 	 55 	 -4.54   	 0.35
155 	 55 	 -5.66   	 0.27
160 	 55 	 -7.22   	 0.19
165 	 55 	 -9.42   	 0.11
170 	 55 	 -12.73   	 0.05
175 	 55 	 -18.65   	 0.01
180 	 55 	 -57.17   	 0.00
0 	 60 	 -57.17   	 0.00
5 	 60 	 -18.60   	 0.01
10 	 60 	 -12.73   	 0.05
15 	 60 	 -9.42   	 0.11
20 	 60 	 -7.23   	 0.19
25 	 60 	 -5.68   	 0.27
30 	 60 	 -4.56   	 0.35
35 	 60 	 -3.73   	 0.42
40 	 60 	 -3.08   	 0.49
45 	 60 	 -2.53   	 0.56
50 	 60 	 -1.97   	 0.64
55 	 60 	 -1.34   	 0.73
60 	 60 	 -0.62   	 0.87
65 	 60 	 0.16   	 1.04
70 	 60 	 0.92   	 1.24
75 	 60 	 1.59   	 1.44
80 	 60 	 2.11   	 1.63
85 	 60 	 2.43   	 1.75
90 	 60 	 2.54   	 1.79
95 	 60 	 2.43   	 1.75
100 	 60 	 2.11   	 1.63
105 	 60 	 1.59   	 1.44
110 	 60 	 0.92   	 1.24
115 	 60 	 0.16   	 1.04
120 	 60 	 -0.61   	 0.87
125 	 60 	 -1.33   	 0.74
130 	 60 	 -1.96   	 0.64
135 	 60 	 -2.52   	 0.56
140 	 60 	 -3.07   	 0.49
145 	 60 	 -3.72   	 0.42
150 	 60 	 -4.55   	 0.35
155 	 60 	 -5.68   	 0.27
160 	 60 	 -7.23   	 0.19
165 	 60 	 -9.43   	 0.11
170 	 60 	 -12.75   	 0.05
175 	 60 	 -18.66   	 0.01
180 	 60 	 -57.17   	 0.00
0 	 65 	 -57.17   	 0.00
5 	 65 	 -18.62   	 0.01
10 	 65 	 -12.74   	 0.05
15 	 65 	 -9.44   	 0.11
20 	 65 	 -7.24   	 0.19
25 	 65 	 -5.69   	 0.27
30 	 65 	 -4.57   	 0.35
35 	 65 	 -3.74   	 0.42
40 	 65 	 -3.09   	 0.49
45 	 65 	 -2.53   	 0.56
50 	 65 	 -1.98   	 0.63
55 	 65 	 -1.34   	 0.73
60 	 65 	 -0.62   	 0.87
65 	 65 	 0.16   	 1.04
70 	 65 	 0.92   	 1.24
75 	 65 	 1.59   	 1.44
80 	 65 	 2.11   	 1.63
85 	 65 	 2.43   	 1.75
90 	 65 	 2.54   	 1.79
95 	 65 	 2.43   	 1.75
100 	 65 	 2.11   	 1.63
105 	 65 	 1.59   	 1.44
110 	 65 	 0.92   	 1.24
115 	 65 	 0.16   	 1.04
120 	 65 	 -0.61   	 0.87
125 	 65 	 -1.34   	 0.73
130 	 65 	 -1.97   	 0.64
135 	 65 	 -2.52   	 0.56
140 	 65 	 -3.08   	 0.49
145 	 65 	 -3.73   	 0.42
150 	 65 	 -4.56   	 0.35
155 	 65 	 -5.69   	 0.27
160 	 65 	 -7.24   	 0.19
165 	 65 	 -9.44   	 0.11
170 	 65 	 -12.76   	 0.05
175 	 65 	 -18.67   	 0.01
180 	 65 	 -57.17   	 0.00
0 	 70 	 -57.17   	 0.00
5 	 70 	 -18.63   	 0.01
10 	 70 	 -12.75   	 0.05
15 	 70 	 -9.45   	 0.11
20 	 70 	 -7.25   	 0.19
25 	 70 	 -5.70   	 0.27
30 	 70 	 -4.58   	 0.35
35 	 70 	 -3.75   	 0.42
40 	 70 	 -3.10   	 0.49
45 	 70 	 -2.54   	 0.56
50 	 70 	 -1.98   	 0.63
55 	 70 	 -1.34   	 0.73
60 	 70 	 -0.62   	 0.87
65 	 70 	 0.16   	 1.04
70 	 70 	 0.92   	 1.24
75 	 70 	 1.59   	 1.44
80 	 70 	 2.10   	 1.62
85 	 70 	 2.43   	 1.75
90 	 70 	 2.54   	 1.79
95 	 70 	 2.43   	 1.75
100 	 70 	 2.10   	 1.62
105 	 70 	 1.59   	 1.44
110 	 70 	 0.92   	 1.24
115 	 70 	 0.16   	 1.04
120 	 70 	 -0.61   	 0.87
125 	 70 	 -1.34   	 0.73
130 	 70 	 -1.97   	 0.64
135 	 70 	 -2.53   	 0.56
140 	 70 	 -3.09   	 0.49
145 	 70 	 -3.74   	 0.42
150 	 70 	 -4.57   	 0.35
155 	 70 	 -5.70   	 0.27
160 	 70 	 -7.25   	 0.19
165 	 70 	 -9.45   	 0.11
170 	 70 	 -12.76   	 0.05
175 	 70 	 -18.67   	 0.01
180 	 70 	 -57.17   	 0.00
0 	 75 	 -57.17   	 0.00
5 	 75 	 -18.65   	 0.01
10 	 75 	 -12.76   	 0.05
15 	 75 	 -9.46   	 0.11
20 	 75 	 -7.26   	 0.19
25 	 75 	 -5.71   	 0.27
30 	 75 	 -4.59   	 0.35
35 	 75 	 -3.75   	 0.42
40 	 75 	 -3.10   	 0.49
45 	 75 	 -2.54   	 0.56
50 	 75 	 -1.98   	 0.63
55 	 75 	 -1.35   	 0.73
60 	 75 	 -0.62   	 0.87
65 	 75 	 0.16   	 1.04
70 	 75 	 0.92   	 1.24
75 	 75 	 1.59   	 1.44
80 	 75 	 2.10   	 1.62
85 	 75 	 2.43   	 1.75
90 	 75 	 2.54   	 1.79
95 	 75 	 2.43   	 1.75
100 	 75 	 2.10   	 1.62
105 	 75 	 1.59   	 1.44
110 	 75 	 0.92   	 1.24
115 	 75 	 0.16   	 1.04
120 	 75 	 -0.62   	 0.87
125 	 75 	 -1.34   	 0.73
130 	 75 	 -1.97   	 0.64
135 	 75 	 -2.54   	 0.56
140 	 75 	 -3.09   	 0.49
145 	 75 	 -3.74   	 0.42
150 	 75 	 -4.58   	 0.35
155 	 75 	 -5.71   	 0.27
160 	 75 	 -7.26   	 0.19
165 	 75 	 -9.46   	 0.11
170 	 75 	 -12.77   	 0.05
175 	 75 	 -18.68   	 0.01
180 	 75 	 -57.17   	 0.00
0 	 80 	 -57.17   	 0.00
5 	 80 	 -18.66   	 0.01
10 	 80 	 -12.77   	 0.05
15 	 80 	 -9.46   	 0.11
20 	 80 	 -7.27   	 0.19
25 	 80 	 -5.72   	 0.27
30 	 80 	 -4.59   	 0.35
35 	 80 	 -3.76   	 0.42
40 	 80 	 -3.10   	 0.49
45 	 80 	 -2.54   	 0.56
50 	 80 	 -1.98   	 0.63
55 	 80 	 -1.35   	 0.73
60 	 80 	 -0.62   	 0.87
65 	 80 	 0.16   	 1.04
70 	 80 	 0.92   	 1.24
75 	 80 	 1.59   	 1.44
80 	 80 	 2.10   	 1.62
85 	 80 	 2.43   	 1.75
90 	 80 	 2.54   	 1.79
95 	 80 	 2.43   	 1.75
100 	 80 	 2.10   	 1.62
105 	 80 	 1.59   	 1.44
110 	 80 	 0.92   	 1.24
115 	 80 	 0.16   	 1.04
120 	 80 	 -0.62   	 0.87
125 	 80 	 -1.34   	 0.73
130 	 80 	 -1.98   	 0.63
135 	 80 	 -2.54   	 0.56
140 	 80 	 -3.10   	 0.49
145 	 80 	 -3.75   	 0.42
150 	 80 	 -4.59   	 0.35
155 	 80 	 -5.71   	 0.27
160 	 80 	 -7.27   	 0.19
165 	 80 	 -9.46   	 0.11
170 	 80 	 -12.78   	 0.05
175 	 80 	 -18.68   	 0.01
180 	 80 	 -57.17   	 0.00
0 	 85 	 -57.17   	 0.00
5 	 85 	 -18.67   	 0.01
10 	 85 	 -12.78   	 0.05
15 	 85 	 -9.47   	 0.11
20 	 85 	 -7.27   	 0.19
25 	 85 	 -5.72   	 0.27
30 	 85 	 -4.59   	 0.35
35 	 85 	 -3.76   	 0.42
40 	 85 	 -3.11   	 0.49
45 	 85 	 -2.55   	 0.56
50 	 85 	 -1.98   	 0.63
55 	 85 	 -1.35   	 0.73
60 	 85 	 -0.62   	 0.87
65 	 85 	 0.16   	 1.04
70 	 85 	 0.92   	 1.24
75 	 85 	 1.59   	 1.44
80 	 85 	 2.10   	 1.62
85 	 85 	 2.43   	 1.75
90 	 85 	 2.53   	 1.79
95 	 85 	 2.43   	 1.75
100 	 85 	 2.10   	 1.62
105 	 85 	 1.59   	 1.44
110 	 85 	 0.92   	 1.24
115 	 85 	 0.16   	 1.04
120 	 85 	 -0.62   	 0.87
125 	 85 	 -1.34   	 0.73
130 	 85 	 -1.98   	 0.63
135 	 85 	 -2.54   	 0.56
140 	 85 	 -3.10   	 0.49
145 	 85 	 -3.76   	 0.42
150 	 85 	 -4.59   	 0.35
155 	 85 	 -5.72   	 0.27
160 	 85 	 -7.27   	 0.19
165 	 85 	 -9.47   	 0.11
170 	 85 	 -12.78   	 0.05
175 	 85 	 -18.68   	 0.01
180 	 85 	 -57.17   	 0.00
0 	 90 	 -57.17   	 0.00
5 	 90 	 -18.67   	 0.01
10 	 90 	 -12.78   	 0.05
15 	 90 	 -9.47   	 0.11
20 	 90 	 -7.27   	 0.19
25 	 90 	 -5.72   	 0.27
30 	 90 	 -4.59   	 0.35
35 	 90 	 -3.76   	 0.42
40 	 90 	 -3.11   	 0.49
45 	 90 	 -2.54   	 0.56
50 	 90 	 -1.98   	 0.63
55 	 90 	 -1.34   	 0.73
60 	 90 	 -0.62   	 0.87
65 	 90 	 0.16   	 1.04
70 	 90 	 0.92   	 1.24
75 	 90 	 1.59   	 1.44
80 	 90 	 2.10   	 1.62
85 	 90 	 2.43   	 1.75
90 	 90 	 2.53   	 1.79
95 	 90 	 2.43   	 1.75
100 	 90 	 2.10   	 1.62
105 	 90 	 1.59   	 1.44
110 	 90 	 0.92   	 1.24
115 	 90 	 0.16   	 1.04
120 	 90 	 -0.62   	 0.87
125 	 90 	 -1.34   	 0.73
130 	 90 	 -1.98   	 0.63
135 	 90 	 -2.54   	 0.56
140 	 90 	 -3.11   	 0.49
145 	 90 	 -3.76   	 0.42
150 	 90 	 -4.59   	 0.35
155 	 90 	 -5.72   	 0.27
160 	 90 	 -7.27   	 0.19
165 	 90 	 -9.47   	 0.11
170 	 90 	 -12.78   	 0.05
175 	 90 	 -18.67   	 0.01
180 	 90 	 -57.17   	 0.00
0 	 95 	 -57.17   	 0.00
5 	 95 	 -18.68   	 0.01
10 	 95 	 -12.78   	 0.05
15 	 95 	 -9.47   	 0.11
20 	 95 	 -7.27   	 0.19
25 	 95 	 -5.72   	 0.27
30 	 95 	 -4.59   	 0.35
35 	 95 	 -3.76   	 0.42
40 	 95 	 -3.10   	 0.49
45 	 95 	 -2.54   	 0.56
50 	 95 	 -1.98   	 0.63
55 	 95 	 -1.34   	 0.73
60 	 95 	 -0.62   	 0.87
65 	 95 	 0.16   	 1.04
70 	 95 	 0.92   	 1.24
75 	 95 	 1.59   	 1.44
80 	 95 	 2.10   	 1.62
85 	 95 	 2.43   	 1.75
90 	 95 	 2.53   	 1.79
95 	 95 	 2.43   	 1.75
100 	 95 	 2.10   	 1.62
105 	 95 	 1.59   	 1.44
110 	 95 	 0.92   	 1.24
115 	 95 	 0.16   	 1.04
120 	 95 	 -0.62   	 0.87
125 	 95 	 -1.35   	 0.73
130 	 95 	 -1.98   	 0.63
135 	 95 	 -2.55   	 0.56
140 	 95 	 -3.11   	 0.49
145 	 95 	 -3.76   	 0.42
150 	 95 	 -4.59   	 0.35
155 	 95 	 -5.72   	 0.27
160 	 95 	 -7.27   	 0.19
165 	 95 	 -9.47   	 0.11
170 	 95 	 -12.78   	 0.05
175 	 95 	 -18.67   	 0.01
180 	 95 	 -57.17   	 0.00
0 	 100 	 -57.17   	 0.00
5 	 100 	 -18.68   	 0.01
10 	 100 	 -12.78   	 0.05
15 	 100 	 -9.46   	 0.11
20 	 100 	 -7.27   	 0.19
25 	 100 	 -5.71   	 0.27
30 	 100 	 -4.59   	 0.35
35 	 100 	 -3.75   	 0.42
40 	 100 	 -3.10   	 0.49
45 	 100 	 -2.54   	 0.56
50 	 100 	 -1.98   	 0.63
55 	 100 	 -1.34   	 0.73
60 	 100 	 -0.62   	 0.87
65 	 100 	 0.16   	 1.04
70 	 100 	 0.92   	 1.24
75 	 100 	 1.59   	 1.44
80 	 100 	 2.10   	 1.62
85 	 100 	 2.43   	 1.75
90 	 100 	 2.54   	 1.79
95 	 100 	 2.43   	 1.75
100 	 100 	 2.10   	 1.62
105 	 100 	 1.59   	 1.44
110 	 100 	 0.92   	 1.24
115 	 100 	 0.16   	 1.04
120 	 100 	 -0.62   	 0.87
125 	 100 	 -1.35   	 0.73
130 	 100 	 -1.98   	 0.63
135 	 100 	 -2.54   	 0.56
140 	 100 	 -3.10   	 0.49
145 	 100 	 -3.76   	 0.42
150 	 100 	 -4.59   	 0.35
155 	 100 	 -5.72   	 0.27
160 	 100 	 -7.27   	 0.19
165 	 100 	 -9.46   	 0.11
170 	 100 	 -12.77   	 0.05
175 	 100 	 -18.66   	 0.01
180 	 100 	 -57.17   	 0.00
0 	 105 	 -57.17   	 0.00
5 	 105 	 -18.68   	 0.01
10 	 105 	 -12.77   	 0.05
15 	 105 	 -9.46   	 0.11
20 	 105 	 -7.26   	 0.19
25 	 105 	 -5.71   	 0.27
30 	 105 	 -4.58   	 0.35
35 	 105 	 -3.74   	 0.42
40 	 105 	 -3.09   	 0.49
45 	 105 	 -2.54   	 0.56
50 	 105 	 -1.97   	 0.64
55 	 105 	 -1.34   	 0.73
60 	 105 	 -0.62   	 0.87
65 	 105 	 0.16   	 1.04
70 	 105 	 0.92   	 1.24
75 	 105 	 1.59   	 1.44
80 	 105 	 2.10   	 1.62
85 	 105 	 2.43   	 1.75
90 	 105 	 2.54   	 1.79
95 	 105 	 2.43   	 1.75
100 	 105 	 2.10   	 1.62
105 	 105 	 1.59   	 1.44
110 	 105 	 0.92   	 1.24
115 	 105 	 0.16   	 1.04
120 	 105 	 -0.62   	 0.87
125 	 105 	 -1.35   	 0.73
130 	 105 	 -1.98   	 0.63
135 	 105 	 -2.54   	 0.56
140 	 105 	 -3.10   	 0.49
145 	 105 	 -3.75   	 0.42
150 	 105 	 -4.59   	 0.35
155 	 105 	 -5.71   	 0.27
160 	 105 	 -7.26   	 0.19
165 	 105 	 -9.46   	 0.11
170 	 105 	 -12.76   	 0.05
175 	 105 	 -18.65   	 0.01
180 	 105 	 -57.17   	 0.00
0 	 110 	 -57.17   	 0.00
5 	 110 	 -18.67   	 0.01
10 	 110 	 -12.76   	 0.05
15 	 110 	 -9.45   	 0.11
20 	 110 	 -7.25   	 0.19
25 	 110 	 -5.70   	 0.27
30 	 110 	 -4.57   	 0.35
35 	 110 	 -3.74   	 0.42
40 	 110 	 -3.09   	 0.49
45 	 110 	 -2.53   	 0.56
50 	 110 	 -1.97   	 0.64
55 	 110 	 -1.34   	 0.73
60 	 110 	 -0.61   	 0.87
65 	 110 	 0.16   	 1.04
70 	 110 	 0.92   	 1.24
75 	 110 	 1.59   	 1.44
80 	 110 	 2.10   	 1.62
85 	 110 	 2.43   	 1.75
90 	 110 	 2.54   	 1.79
95 	 110 	 2.43   	 1.75
100 	 110 	 2.10   	 1.62
105 	 110 	 1.59   	 1.44
110 	 110 	 0.92   	 1.24
115 	 110 	 0.16   	 1.04
120 	 110 	 -0.62   	 0.87
125 	 110 	 -1.34   	 0.73
130 	 110 	 -1.98   	 0.63
135 	 110 	 -2.54   	 0.56
140 	 110 	 -3.10   	 0.49
145 	 110 	 -3.75   	 0.42
150 	 110 	 -4.58   	 0.35
155 	 110 	 -5.70   	 0.27
160 	 110 	 -7.25   	 0.19
165 	 110 	 -9.45   	 0.11
170 	 110 	 -12.75   	 0.05
175 	 110 	 -18.63   	 0.01
180 	 110 	 -57.17   	 0.00
0 	 115 	 -57.17   	 0.00
5 	 115 	 -18.67   	 0.01
10 	 115 	 -12.76   	 0.05
15 	 115 	 -9.44   	 0.11
20 	 115 	 -7.24   	 0.19
25 	 115 	 -5.69   	 0.27
30 	 115 	 -4.56   	 0.35
35 	 115 	 -3.73   	 0.42
40 	 115 	 -3.08   	 0.49
45 	 115 	 -2.52   	 0.56
50 	 115 	 -1.97   	 0.64
55 	 115 	 -1.34   	 0.73
60 	 115 	 -0.61   	 0.87
65 	 115 	 0.16   	 1.04
70 	 115 	 0.92   	 1.24
75 	 115 	 1.59   	 1.44
80 	 115 	 2.11   	 1.63
85 	 115 	 2.43   	 1.75
90 	 115 	 2.54   	 1.79
95 	 115 	 2.43   	 1.75
100 	 115 	 2.11   	 1.63
105 	 115 	 1.59   	 1.44
110 	 115 	 0.92   	 1.24
115 	 115 	 0.16   	 1.04
120 	 115 	 -0.62   	 0.87
125 	 115 	 -1.34   	 0.73
130 	 115 	 -1.98   	 0.63
135 	 115 	 -2.53   	 0.56
140 	 115 	 -3.09   	 0.49
145 	 115 	 -3.74   	 0.42
150 	 115 	 -4.57   	 0.35
155 	 115 	 -5.69   	 0.27
160 	 115 	 -7.24   	 0.19
165 	 115 	 -9.44   	 0.11
170 	 115 	 -12.74   	 0.05
175 	 115 	 -18.62   	 0.01
180 	 115 	 -57.17   	 0.00
0 	 120 	 -57.17   	 0.00
5 	 120 	 -18.66   	 0.01
10 	 120 	 -12.75   	 0.05
15 	 120 	 -9.43   	 0.11
20 	 120 	 -7.23   	 0.19
25 	 120 	 -5.68   	 0.27
30 	 120 	 -4.55   	 0.35
35 	 120 	 -3.72   	 0.42
40 	 120 	 -3.07   	 0.49
45 	 120 	 -2.52   	 0.56
50 	 120 	 -1.96   	 0.64
55 	 120 	 -1.33   	 0.74
60 	 120 	 -0.61   	 0.87
65 	 120 	 0.16   	 1.04
70 	 120 	 0.92   	 1.24
75 	 120 	 1.59   	 1.44
80 	 120 	 2.11   	 1.63
85 	 120 	 2.43   	 1.75
90 	 120 	 2.54   	 1.79
95 	 120 	 2.43   	 1.75
100 	 120 	 2.11   	 1.63
105 	 120 	 1.59   	 1.44
110 	 120 	 0.92   	 1.24
115 	 120 	 0.16   	 1.04
120 	 120 	 -0.62   	 0.87
125 	 120 	 -1.34   	 0.73
130 	 120 	 -1.97   	 0.64
135 	 120 	 -2.53   	 0.56
140 	 120 	 -3.08   	 0.49
145 	 120 	 -3.73   	 0.42
150 	 120 	 -4.56   	 0.35
155 	 120 	 -5.68   	 0.27
160 	 120 	 -7.23   	 0.19
165 	 120 	 -9.42   	 0.11
170 	 120 	 -12.73   	 0.05
175 	 120 	 -18.60   	 0.01
180 	 120 	 -57.17   	 0.00
0 	 125 	 -57.17   	 0.00
5 	 125 	 -18.65   	 0.01
10 	 125 	 -12.73   	 0.05
15 	 125 	 -9.42   	 0.11
20 	 125 	 -7.22   	 0.19
25 	 125 	 -5.66   	 0.27
30 	 125 	 -4.54   	 0.35
35 	 125 	 -3.71   	 0.43
40 	 125 	 -3.06   	 0.49
45 	 125 	 -2.51   	 0.56
50 	 125 	 -1.96   	 0.64
55 	 125 	 -1.33   	 0.74
60 	 125 	 -0.61   	 0.87
65 	 125 	 0.16   	 1.04
70 	 125 	 0.92   	 1.24
75 	 125 	 1.59   	 1.44
80 	 125 	 2.11   	 1.63
85 	 125 	 2.44   	 1.75
90 	 125 	 2.55   	 1.80
95 	 125 	 2.44   	 1.75
100 	 125 	 2.11   	 1.63
105 	 125 	 1.59   	 1.44
110 	 125 	 0.92   	 1.24
115 	 125 	 0.16   	 1.04
120 	 125 	 -0.62   	 0.87
125 	 125 	 -1.34   	 0.73
130 	 125 	 -1.97   	 0.64
135 	 125 	 -2.52   	 0.56
140 	 125 	 -3.08   	 0.49
145 	 125 	 -3.72   	 0.42
150 	 125 	 -4.55   	 0.35
155 	 125 	 -5.67   	 0.27
160 	 125 	 -7.22   	 0.19
165 	 125 	 -9.41   	 0.11
170 	 125 	 -12.71   	 0.05
175 	 125 	 -18.58   	 0.01
180 	 125 	 -57.17   	 0.00
0 	 130 	 -57.17   	 0.00
5 	 130 	 -18.64   	 0.01
10 	 130 	 -12.72   	 0.05
15 	 130 	 -9.41   	 0.11
20 	 130 	 -7.20   	 0.19
25 	 130 	 -5.65   	 0.27
30 	 130 	 -4.53   	 0.35
35 	 130 	 -3.69   	 0.43
40 	 130 	 -3.05   	 0.50
45 	 130 	 -2.50   	 0.56
50 	 130 	 -1.95   	 0.64
55 	 130 	 -1.33   	 0.74
60 	 130 	 -0.61   	 0.87
65 	 130 	 0.16   	 1.04
70 	 130 	 0.92   	 1.24
75 	 130 	 1.60   	 1.45
80 	 130 	 2.11   	 1.63
85 	 130 	 2.44   	 1.75
90 	 130 	 2.55   	 1.80
95 	 130 	 2.44   	 1.75
100 	 130 	 2.11   	 1.63
105 	 130 	 1.59   	 1.44
110 	 130 	 0.92   	 1.24
115 	 130 	 0.16   	 1.04
120 	 130 	 -0.62   	 0.87
125 	 130 	 -1.34   	 0.73
130 	 130 	 -1.97   	 0.64
135 	 130 	 -2.52   	 0.56
140 	 130 	 -3.07   	 0.49
145 	 130 	 -3.71   	 0.43
150 	 130 	 -4.54   	 0.35
155 	 130 	 -5.66   	 0.27
160 	 130 	 -7.20   	 0.19
165 	 130 	 -9.39   	 0.12
170 	 130 	 -12.69   	 0.05
175 	 130 	 -18.56   	 0.01
180 	 130 	 -57.17   	 0.00
0 	 135 	 -57.17   	 0.00
5 	 135 	 -18.63   	 0.01
10 	 135 	 -12.71   	 0.05
15 	 135 	 -9.39   	 0.12
20 	 135 	 -7.19   	 0.19
25 	 135 	 -5.64   	 0.27
30 	 135 	 -4.51   	 0.35
35 	 135 	 -3.68   	 0.43
40 	 135 	 -3.04   	 0.50
45 	 135 	 -2.50   	 0.56
50 	 135 	 -1.95   	 0.64
55 	 135 	 -1.33   	 0.74
60 	 135 	 -0.61   	 0.87
65 	 135 	 0.16   	 1.04
70 	 135 	 0.93   	 1.24
75 	 135 	 1.60   	 1.45
80 	 135 	 2.12   	 1.63
85 	 135 	 2.44   	 1.75
90 	 135 	 2.55   	 1.80
95 	 135 	 2.44   	 1.75
100 	 135 	 2.11   	 1.63
105 	 135 	 1.59   	 1.44
110 	 135 	 0.92   	 1.24
115 	 135 	 0.15   	 1.04
120 	 135 	 -0.62   	 0.87
125 	 135 	 -1.34   	 0.73
130 	 135 	 -1.96   	 0.64
135 	 135 	 -2.51   	 0.56
140 	 135 	 -3.06   	 0.49
145 	 135 	 -3.70   	 0.43
150 	 135 	 -4.52   	 0.35
155 	 135 	 -5.64   	 0.27
160 	 135 	 -7.19   	 0.19
165 	 135 	 -9.38   	 0.12
170 	 135 	 -12.68   	 0.05
175 	 135 	 -18.54   	 0.01
180 	 135 	 -57.17   	 0.00
0 	 140 	 -57.17   	 0.00
5 	 140 	 -18.62   	 0.01
10 	 140 	 -12.70   	 0.05
15 	 140 	 -9.38   	 0.12
20 	 140 	 -7.18   	 0.19
25 	 140 	 -5.62   	 0.27
30 	 140 	 -4.50   	 0.35
35 	 140 	 -3.67   	 0.43
40 	 140 	 -3.03   	 0.50
45 	 140 	 -2.49   	 0.56
50 	 140 	 -1.95   	 0.64
55 	 140 	 -1.33   	 0.74
60 	 140 	 -0.61   	 0.87
65 	 140 	 0.16   	 1.04
70 	 140 	 0.93   	 1.24
75 	 140 	 1.60   	 1.45
80 	 140 	 2.12   	 1.63
85 	 140 	 2.45   	 1.76
90 	 140 	 2.56   	 1.80
95 	 140 	 2.45   	 1.76
100 	 140 	 2.12   	 1.63
105 	 140 	 1.59   	 1.44
110 	 140 	 0.92   	 1.24
115 	 140 	 0.15   	 1.04
120 	 140 	 -0.62   	 0.87
125 	 140 	 -1.34   	 0.73
130 	 140 	 -1.96   	 0.64
135 	 140 	 -2.51   	 0.56
140 	 140 	 -3.05   	 0.50
145 	 140 	 -3.68   	 0.43
150 	 140 	 -4.51   	 0.35
155 	 140 	 -5.63   	 0.27
160 	 140 	 -7.17   	 0.19
165 	 140 	 -9.36   	 0.12
170 	 140 	 -12.66   	 0.05
175 	 140 	 -18.53   	 0.01
