freq : 83.33 MHz
SWR : 1.80
 Theta 	 Phi 	 Gain(dB) 	 Gain 
125 	 255 	 -0.08   	 0.98
130 	 255 	 -0.72   	 0.85
135 	 255 	 -1.48   	 0.71
140 	 255 	 -2.37   	 0.58
145 	 255 	 -3.42   	 0.45
150 	 255 	 -4.67   	 0.34
155 	 255 	 -6.18   	 0.24
160 	 255 	 -8.07   	 0.16
165 	 255 	 -10.52   	 0.09
170 	 255 	 -14.02   	 0.04
175 	 255 	 -20.02   	 0.01
180 	 255 	 -999.99   	 0.00
0 	 260 	 -999.99   	 0.00
5 	 260 	 -20.02   	 0.01
10 	 260 	 -14.02   	 0.04
15 	 260 	 -10.52   	 0.09
20 	 260 	 -8.07   	 0.16
25 	 260 	 -6.18   	 0.24
30 	 260 	 -4.67   	 0.34
35 	 260 	 -3.42   	 0.45
40 	 260 	 -2.37   	 0.58
45 	 260 	 -1.48   	 0.71
50 	 260 	 -0.72   	 0.85
55 	 260 	 -0.08   	 0.98
60 	 260 	 0.46   	 1.11
65 	 260 	 0.91   	 1.23
70 	 260 	 1.27   	 1.34
75 	 260 	 1.54   	 1.43
80 	 260 	 1.74   	 1.49
85 	 260 	 1.85   	 1.53
90 	 260 	 1.89   	 1.55
95 	 260 	 1.85   	 1.53
100 	 260 	 1.74   	 1.49
105 	 260 	 1.54   	 1.43
110 	 260 	 1.27   	 1.34
115 	 260 	 0.91   	 1.23
120 	 260 	 0.46   	 1.11
125 	 260 	 -0.08   	 0.98
130 	 260 	 -0.72   	 0.85
135 	 260 	 -1.48   	 0.71
140 	 260 	 -2.37   	 0.58
145 	 260 	 -3.42   	 0.45
150 	 260 	 -4.67   	 0.34
155 	 260 	 -6.18   	 0.24
160 	 260 	 -8.07   	 0.16
165 	 260 	 -10.52   	 0.09
170 	 260 	 -14.02   	 0.04
175 	 260 	 -20.02   	 0.01
180 	 260 	 -999.99   	 0.00
0 	 265 	 -999.99   	 0.00
5 	 265 	 -20.02   	 0.01
10 	 265 	 -14.02   	 0.04
15 	 265 	 -10.52   	 0.09
20 	 265 	 -8.07   	 0.16
25 	 265 	 -6.18   	 0.24
30 	 265 	 -4.67   	 0.34
35 	 265 	 -3.42   	 0.45
40 	 265 	 -2.37   	 0.58
45 	 265 	 -1.48   	 0.71
50 	 265 	 -0.72   	 0.85
55 	 265 	 -0.08   	 0.98
60 	 265 	 0.46   	 1.11
65 	 265 	 0.91   	 1.23
70 	 265 	 1.27   	 1.34
75 	 265 	 1.54   	 1.43
80 	 265 	 1.74   	 1.49
85 	 265 	 1.85   	 1.53
90 	 265 	 1.89   	 1.55
95 	 265 	 1.85   	 1.53
100 	 265 	 1.74   	 1.49
105 	 265 	 1.54   	 1.43
110 	 265 	 1.27   	 1.34
115 	 265 	 0.91   	 1.23
120 	 265 	 0.46   	 1.11
125 	 265 	 -0.08   	 0.98
130 	 265 	 -0.72   	 0.85
135 	 265 	 -1.48   	 0.71
140 	 265 	 -2.37   	 0.58
145 	 265 	 -3.42   	 0.45
150 	 265 	 -4.67   	 0.34
155 	 265 	 -6.18   	 0.24
160 	 265 	 -8.07   	 0.16
165 	 265 	 -10.52   	 0.09
170 	 265 	 -14.02   	 0.04
175 	 265 	 -20.02   	 0.01
180 	 265 	 -999.99   	 0.00
0 	 270 	 -999.99   	 0.00
5 	 270 	 -20.02   	 0.01
10 	 270 	 -14.02   	 0.04
15 	 270 	 -10.52   	 0.09
20 	 270 	 -8.07   	 0.16
25 	 270 	 -6.18   	 0.24
30 	 270 	 -4.67   	 0.34
35 	 270 	 -3.42   	 0.45
40 	 270 	 -2.37   	 0.58
45 	 270 	 -1.48   	 0.71
50 	 270 	 -0.72   	 0.85
55 	 270 	 -0.08   	 0.98
60 	 270 	 0.46   	 1.11
65 	 270 	 0.91   	 1.23
70 	 270 	 1.27   	 1.34
75 	 270 	 1.54   	 1.43
80 	 270 	 1.74   	 1.49
85 	 270 	 1.85   	 1.53
90 	 270 	 1.89   	 1.55
95 	 270 	 1.85   	 1.53
100 	 270 	 1.74   	 1.49
105 	 270 	 1.54   	 1.43
110 	 270 	 1.27   	 1.34
115 	 270 	 0.91   	 1.23
120 	 270 	 0.46   	 1.11
125 	 270 	 -0.08   	 0.98
130 	 270 	 -0.72   	 0.85
135 	 270 	 -1.48   	 0.71
140 	 270 	 -2.37   	 0.58
145 	 270 	 -3.42   	 0.45
150 	 270 	 -4.67   	 0.34
155 	 270 	 -6.18   	 0.24
160 	 270 	 -8.07   	 0.16
165 	 270 	 -10.52   	 0.09
170 	 270 	 -14.02   	 0.04
175 	 270 	 -20.02   	 0.01
180 	 270 	 -999.99   	 0.00
0 	 275 	 -999.99   	 0.00
5 	 275 	 -20.02   	 0.01
10 	 275 	 -14.02   	 0.04
15 	 275 	 -10.52   	 0.09
20 	 275 	 -8.07   	 0.16
25 	 275 	 -6.18   	 0.24
30 	 275 	 -4.67   	 0.34
35 	 275 	 -3.42   	 0.45
40 	 275 	 -2.37   	 0.58
45 	 275 	 -1.48   	 0.71
50 	 275 	 -0.72   	 0.85
55 	 275 	 -0.08   	 0.98
60 	 275 	 0.46   	 1.11
65 	 275 	 0.91   	 1.23
70 	 275 	 1.27   	 1.34
75 	 275 	 1.54   	 1.43
80 	 275 	 1.74   	 1.49
85 	 275 	 1.85   	 1.53
90 	 275 	 1.89   	 1.55
95 	 275 	 1.85   	 1.53
100 	 275 	 1.74   	 1.49
105 	 275 	 1.54   	 1.43
110 	 275 	 1.27   	 1.34
115 	 275 	 0.91   	 1.23
120 	 275 	 0.46   	 1.11
125 	 275 	 -0.08   	 0.98
130 	 275 	 -0.72   	 0.85
135 	 275 	 -1.48   	 0.71
140 	 275 	 -2.37   	 0.58
145 	 275 	 -3.42   	 0.45
150 	 275 	 -4.67   	 0.34
155 	 275 	 -6.18   	 0.24
160 	 275 	 -8.07   	 0.16
165 	 275 	 -10.52   	 0.09
170 	 275 	 -14.02   	 0.04
175 	 275 	 -20.02   	 0.01
180 	 275 	 -999.99   	 0.00
0 	 280 	 -999.99   	 0.00
5 	 280 	 -20.02   	 0.01
10 	 280 	 -14.02   	 0.04
15 	 280 	 -10.52   	 0.09
20 	 280 	 -8.07   	 0.16
25 	 280 	 -6.18   	 0.24
30 	 280 	 -4.67   	 0.34
35 	 280 	 -3.42   	 0.45
40 	 280 	 -2.37   	 0.58
45 	 280 	 -1.48   	 0.71
50 	 280 	 -0.72   	 0.85
55 	 280 	 -0.08   	 0.98
60 	 280 	 0.46   	 1.11
65 	 280 	 0.91   	 1.23
70 	 280 	 1.27   	 1.34
75 	 280 	 1.54   	 1.43
80 	 280 	 1.74   	 1.49
85 	 280 	 1.85   	 1.53
90 	 280 	 1.89   	 1.55
95 	 280 	 1.85   	 1.53
100 	 280 	 1.74   	 1.49
105 	 280 	 1.54   	 1.43
110 	 280 	 1.27   	 1.34
115 	 280 	 0.91   	 1.23
120 	 280 	 0.46   	 1.11
125 	 280 	 -0.08   	 0.98
130 	 280 	 -0.72   	 0.85
135 	 280 	 -1.48   	 0.71
140 	 280 	 -2.37   	 0.58
145 	 280 	 -3.42   	 0.45
150 	 280 	 -4.67   	 0.34
155 	 280 	 -6.18   	 0.24
160 	 280 	 -8.07   	 0.16
165 	 280 	 -10.52   	 0.09
170 	 280 	 -14.02   	 0.04
175 	 280 	 -20.02   	 0.01
180 	 280 	 -999.99   	 0.00
0 	 285 	 -999.99   	 0.00
5 	 285 	 -20.02   	 0.01
10 	 285 	 -14.02   	 0.04
15 	 285 	 -10.52   	 0.09
20 	 285 	 -8.07   	 0.16
25 	 285 	 -6.18   	 0.24
30 	 285 	 -4.67   	 0.34
35 	 285 	 -3.42   	 0.45
40 	 285 	 -2.37   	 0.58
45 	 285 	 -1.48   	 0.71
50 	 285 	 -0.72   	 0.85
55 	 285 	 -0.08   	 0.98
60 	 285 	 0.46   	 1.11
65 	 285 	 0.91   	 1.23
70 	 285 	 1.27   	 1.34
75 	 285 	 1.54   	 1.43
80 	 285 	 1.74   	 1.49
85 	 285 	 1.85   	 1.53
90 	 285 	 1.89   	 1.55
95 	 285 	 1.85   	 1.53
100 	 285 	 1.74   	 1.49
105 	 285 	 1.54   	 1.43
110 	 285 	 1.27   	 1.34
115 	 285 	 0.91   	 1.23
120 	 285 	 0.46   	 1.11
125 	 285 	 -0.08   	 0.98
130 	 285 	 -0.72   	 0.85
135 	 285 	 -1.48   	 0.71
140 	 285 	 -2.37   	 0.58
145 	 285 	 -3.42   	 0.45
150 	 285 	 -4.67   	 0.34
155 	 285 	 -6.18   	 0.24
160 	 285 	 -8.07   	 0.16
165 	 285 	 -10.52   	 0.09
170 	 285 	 -14.02   	 0.04
175 	 285 	 -20.02   	 0.01
180 	 285 	 -999.99   	 0.00
0 	 290 	 -999.99   	 0.00
5 	 290 	 -20.02   	 0.01
10 	 290 	 -14.02   	 0.04
15 	 290 	 -10.52   	 0.09
20 	 290 	 -8.07   	 0.16
25 	 290 	 -6.18   	 0.24
30 	 290 	 -4.67   	 0.34
35 	 290 	 -3.42   	 0.45
40 	 290 	 -2.37   	 0.58
45 	 290 	 -1.48   	 0.71
50 	 290 	 -0.72   	 0.85
55 	 290 	 -0.08   	 0.98
60 	 290 	 0.46   	 1.11
65 	 290 	 0.91   	 1.23
70 	 290 	 1.27   	 1.34
75 	 290 	 1.54   	 1.43
80 	 290 	 1.74   	 1.49
85 	 290 	 1.85   	 1.53
90 	 290 	 1.89   	 1.55
95 	 290 	 1.85   	 1.53
100 	 290 	 1.74   	 1.49
105 	 290 	 1.54   	 1.43
110 	 290 	 1.27   	 1.34
115 	 290 	 0.91   	 1.23
120 	 290 	 0.46   	 1.11
125 	 290 	 -0.08   	 0.98
130 	 290 	 -0.72   	 0.85
135 	 290 	 -1.48   	 0.71
140 	 290 	 -2.37   	 0.58
145 	 290 	 -3.42   	 0.45
150 	 290 	 -4.67   	 0.34
155 	 290 	 -6.18   	 0.24
160 	 290 	 -8.07   	 0.16
165 	 290 	 -10.52   	 0.09
170 	 290 	 -14.02   	 0.04
175 	 290 	 -20.02   	 0.01
180 	 290 	 -999.99   	 0.00
0 	 295 	 -999.99   	 0.00
5 	 295 	 -20.02   	 0.01
10 	 295 	 -14.02   	 0.04
15 	 295 	 -10.52   	 0.09
20 	 295 	 -8.07   	 0.16
25 	 295 	 -6.18   	 0.24
30 	 295 	 -4.67   	 0.34
35 	 295 	 -3.42   	 0.45
40 	 295 	 -2.37   	 0.58
45 	 295 	 -1.48   	 0.71
50 	 295 	 -0.72   	 0.85
55 	 295 	 -0.08   	 0.98
60 	 295 	 0.46   	 1.11
65 	 295 	 0.91   	 1.23
70 	 295 	 1.27   	 1.34
75 	 295 	 1.54   	 1.43
80 	 295 	 1.74   	 1.49
85 	 295 	 1.85   	 1.53
90 	 295 	 1.89   	 1.55
95 	 295 	 1.85   	 1.53
100 	 295 	 1.74   	 1.49
105 	 295 	 1.54   	 1.43
110 	 295 	 1.27   	 1.34
115 	 295 	 0.91   	 1.23
120 	 295 	 0.46   	 1.11
125 	 295 	 -0.08   	 0.98
130 	 295 	 -0.72   	 0.85
135 	 295 	 -1.48   	 0.71
140 	 295 	 -2.37   	 0.58
145 	 295 	 -3.42   	 0.45
150 	 295 	 -4.67   	 0.34
155 	 295 	 -6.18   	 0.24
160 	 295 	 -8.07   	 0.16
165 	 295 	 -10.52   	 0.09
170 	 295 	 -14.02   	 0.04
175 	 295 	 -20.02   	 0.01
180 	 295 	 -999.99   	 0.00
0 	 300 	 -999.99   	 0.00
5 	 300 	 -20.02   	 0.01
10 	 300 	 -14.02   	 0.04
15 	 300 	 -10.52   	 0.09
20 	 300 	 -8.07   	 0.16
25 	 300 	 -6.18   	 0.24
30 	 300 	 -4.67   	 0.34
35 	 300 	 -3.42   	 0.45
40 	 300 	 -2.37   	 0.58
45 	 300 	 -1.48   	 0.71
50 	 300 	 -0.72   	 0.85
55 	 300 	 -0.08   	 0.98
60 	 300 	 0.46   	 1.11
65 	 300 	 0.91   	 1.23
70 	 300 	 1.27   	 1.34
75 	 300 	 1.54   	 1.43
80 	 300 	 1.74   	 1.49
85 	 300 	 1.85   	 1.53
90 	 300 	 1.89   	 1.55
95 	 300 	 1.85   	 1.53
100 	 300 	 1.74   	 1.49
105 	 300 	 1.54   	 1.43
110 	 300 	 1.27   	 1.34
115 	 300 	 0.91   	 1.23
120 	 300 	 0.46   	 1.11
125 	 300 	 -0.08   	 0.98
130 	 300 	 -0.72   	 0.85
135 	 300 	 -1.48   	 0.71
140 	 300 	 -2.37   	 0.58
145 	 300 	 -3.42   	 0.45
150 	 300 	 -4.67   	 0.34
155 	 300 	 -6.18   	 0.24
160 	 300 	 -8.07   	 0.16
165 	 300 	 -10.52   	 0.09
170 	 300 	 -14.02   	 0.04
175 	 300 	 -20.02   	 0.01
180 	 300 	 -999.99   	 0.00
0 	 305 	 -999.99   	 0.00
5 	 305 	 -20.02   	 0.01
10 	 305 	 -14.02   	 0.04
15 	 305 	 -10.52   	 0.09
20 	 305 	 -8.07   	 0.16
25 	 305 	 -6.18   	 0.24
30 	 305 	 -4.67   	 0.34
35 	 305 	 -3.42   	 0.45
40 	 305 	 -2.37   	 0.58
45 	 305 	 -1.48   	 0.71
50 	 305 	 -0.72   	 0.85
55 	 305 	 -0.08   	 0.98
60 	 305 	 0.46   	 1.11
65 	 305 	 0.91   	 1.23
70 	 305 	 1.27   	 1.34
75 	 305 	 1.54   	 1.43
80 	 305 	 1.74   	 1.49
85 	 305 	 1.85   	 1.53
90 	 305 	 1.89   	 1.55
95 	 305 	 1.85   	 1.53
100 	 305 	 1.74   	 1.49
105 	 305 	 1.54   	 1.43
110 	 305 	 1.27   	 1.34
115 	 305 	 0.91   	 1.23
120 	 305 	 0.46   	 1.11
125 	 305 	 -0.08   	 0.98
130 	 305 	 -0.72   	 0.85
135 	 305 	 -1.48   	 0.71
140 	 305 	 -2.37   	 0.58
145 	 305 	 -3.42   	 0.45
150 	 305 	 -4.67   	 0.34
155 	 305 	 -6.18   	 0.24
160 	 305 	 -8.07   	 0.16
165 	 305 	 -10.52   	 0.09
170 	 305 	 -14.02   	 0.04
175 	 305 	 -20.02   	 0.01
180 	 305 	 -999.99   	 0.00
0 	 310 	 -999.99   	 0.00
5 	 310 	 -20.02   	 0.01
10 	 310 	 -14.02   	 0.04
15 	 310 	 -10.52   	 0.09
20 	 310 	 -8.07   	 0.16
25 	 310 	 -6.18   	 0.24
30 	 310 	 -4.67   	 0.34
35 	 310 	 -3.42   	 0.45
40 	 310 	 -2.37   	 0.58
45 	 310 	 -1.48   	 0.71
50 	 310 	 -0.72   	 0.85
55 	 310 	 -0.08   	 0.98
60 	 310 	 0.46   	 1.11
65 	 310 	 0.91   	 1.23
70 	 310 	 1.27   	 1.34
75 	 310 	 1.54   	 1.43
80 	 310 	 1.74   	 1.49
85 	 310 	 1.85   	 1.53
90 	 310 	 1.89   	 1.55
95 	 310 	 1.85   	 1.53
100 	 310 	 1.74   	 1.49
105 	 310 	 1.54   	 1.43
110 	 310 	 1.27   	 1.34
115 	 310 	 0.91   	 1.23
120 	 310 	 0.46   	 1.11
125 	 310 	 -0.08   	 0.98
130 	 310 	 -0.72   	 0.85
135 	 310 	 -1.48   	 0.71
140 	 310 	 -2.37   	 0.58
145 	 310 	 -3.42   	 0.45
150 	 310 	 -4.67   	 0.34
155 	 310 	 -6.18   	 0.24
160 	 310 	 -8.07   	 0.16
165 	 310 	 -10.52   	 0.09
170 	 310 	 -14.02   	 0.04
175 	 310 	 -20.02   	 0.01
180 	 310 	 -999.99   	 0.00
0 	 315 	 -999.99   	 0.00
5 	 315 	 -20.02   	 0.01
10 	 315 	 -14.02   	 0.04
15 	 315 	 -10.52   	 0.09
20 	 315 	 -8.07   	 0.16
25 	 315 	 -6.18   	 0.24
30 	 315 	 -4.67   	 0.34
35 	 315 	 -3.42   	 0.45
40 	 315 	 -2.37   	 0.58
45 	 315 	 -1.48   	 0.71
50 	 315 	 -0.72   	 0.85
55 	 315 	 -0.08   	 0.98
60 	 315 	 0.46   	 1.11
65 	 315 	 0.91   	 1.23
70 	 315 	 1.27   	 1.34
75 	 315 	 1.54   	 1.43
80 	 315 	 1.74   	 1.49
85 	 315 	 1.85   	 1.53
90 	 315 	 1.89   	 1.55
95 	 315 	 1.85   	 1.53
100 	 315 	 1.74   	 1.49
105 	 315 	 1.54   	 1.43
110 	 315 	 1.27   	 1.34
115 	 315 	 0.91   	 1.23
120 	 315 	 0.46   	 1.11
125 	 315 	 -0.08   	 0.98
130 	 315 	 -0.72   	 0.85
135 	 315 	 -1.48   	 0.71
140 	 315 	 -2.37   	 0.58
145 	 315 	 -3.42   	 0.45
150 	 315 	 -4.67   	 0.34
155 	 315 	 -6.18   	 0.24
160 	 315 	 -8.07   	 0.16
165 	 315 	 -10.52   	 0.09
170 	 315 	 -14.02   	 0.04
175 	 315 	 -20.02   	 0.01
180 	 315 	 -999.99   	 0.00
0 	 320 	 -999.99   	 0.00
5 	 320 	 -20.02   	 0.01
10 	 320 	 -14.02   	 0.04
15 	 320 	 -10.52   	 0.09
20 	 320 	 -8.07   	 0.16
25 	 320 	 -6.18   	 0.24
30 	 320 	 -4.67   	 0.34
35 	 320 	 -3.42   	 0.45
40 	 320 	 -2.37   	 0.58
45 	 320 	 -1.48   	 0.71
50 	 320 	 -0.72   	 0.85
55 	 320 	 -0.08   	 0.98
60 	 320 	 0.46   	 1.11
65 	 320 	 0.91   	 1.23
70 	 320 	 1.27   	 1.34
75 	 320 	 1.54   	 1.43
80 	 320 	 1.74   	 1.49
85 	 320 	 1.85   	 1.53
90 	 320 	 1.89   	 1.55
95 	 320 	 1.85   	 1.53
100 	 320 	 1.74   	 1.49
105 	 320 	 1.54   	 1.43
110 	 320 	 1.27   	 1.34
115 	 320 	 0.91   	 1.23
120 	 320 	 0.46   	 1.11
125 	 320 	 -0.08   	 0.98
130 	 320 	 -0.72   	 0.85
135 	 320 	 -1.48   	 0.71
140 	 320 	 -2.37   	 0.58
145 	 320 	 -3.42   	 0.45
150 	 320 	 -4.67   	 0.34
155 	 320 	 -6.18   	 0.24
160 	 320 	 -8.07   	 0.16
165 	 320 	 -10.52   	 0.09
170 	 320 	 -14.02   	 0.04
175 	 320 	 -20.02   	 0.01
180 	 320 	 -999.99   	 0.00
0 	 325 	 -999.99   	 0.00
5 	 325 	 -20.02   	 0.01
10 	 325 	 -14.02   	 0.04
15 	 325 	 -10.52   	 0.09
20 	 325 	 -8.07   	 0.16
25 	 325 	 -6.18   	 0.24
30 	 325 	 -4.67   	 0.34
35 	 325 	 -3.42   	 0.45
40 	 325 	 -2.37   	 0.58
45 	 325 	 -1.48   	 0.71
50 	 325 	 -0.72   	 0.85
55 	 325 	 -0.08   	 0.98
60 	 325 	 0.46   	 1.11
65 	 325 	 0.91   	 1.23
70 	 325 	 1.27   	 1.34
75 	 325 	 1.54   	 1.43
80 	 325 	 1.74   	 1.49
85 	 325 	 1.85   	 1.53
90 	 325 	 1.89   	 1.55
95 	 325 	 1.85   	 1.53
100 	 325 	 1.74   	 1.49
105 	 325 	 1.54   	 1.43
110 	 325 	 1.27   	 1.34
115 	 325 	 0.91   	 1.23
120 	 325 	 0.46   	 1.11
125 	 325 	 -0.08   	 0.98
130 	 325 	 -0.72   	 0.85
135 	 325 	 -1.48   	 0.71
140 	 325 	 -2.37   	 0.58
145 	 325 	 -3.42   	 0.45
150 	 325 	 -4.67   	 0.34
155 	 325 	 -6.18   	 0.24
160 	 325 	 -8.07   	 0.16
165 	 325 	 -10.52   	 0.09
170 	 325 	 -14.02   	 0.04
175 	 325 	 -20.02   	 0.01
180 	 325 	 -999.99   	 0.00
0 	 330 	 -999.99   	 0.00
5 	 330 	 -20.02   	 0.01
10 	 330 	 -14.02   	 0.04
15 	 330 	 -10.52   	 0.09
20 	 330 	 -8.07   	 0.16
25 	 330 	 -6.18   	 0.24
30 	 330 	 -4.67   	 0.34
35 	 330 	 -3.42   	 0.45
40 	 330 	 -2.37   	 0.58
45 	 330 	 -1.48   	 0.71
50 	 330 	 -0.72   	 0.85
55 	 330 	 -0.08   	 0.98
60 	 330 	 0.46   	 1.11
65 	 330 	 0.91   	 1.23
70 	 330 	 1.27   	 1.34
75 	 330 	 1.54   	 1.43
80 	 330 	 1.74   	 1.49
85 	 330 	 1.85   	 1.53
90 	 330 	 1.89   	 1.55
95 	 330 	 1.85   	 1.53
100 	 330 	 1.74   	 1.49
105 	 330 	 1.54   	 1.43
110 	 330 	 1.27   	 1.34
115 	 330 	 0.91   	 1.23
120 	 330 	 0.46   	 1.11
125 	 330 	 -0.08   	 0.98
130 	 330 	 -0.72   	 0.85
135 	 330 	 -1.48   	 0.71
140 	 330 	 -2.37   	 0.58
145 	 330 	 -3.42   	 0.45
150 	 330 	 -4.67   	 0.34
155 	 330 	 -6.18   	 0.24
160 	 330 	 -8.07   	 0.16
165 	 330 	 -10.52   	 0.09
170 	 330 	 -14.02   	 0.04
175 	 330 	 -20.02   	 0.01
180 	 330 	 -999.99   	 0.00
0 	 335 	 -999.99   	 0.00
5 	 335 	 -20.02   	 0.01
10 	 335 	 -14.02   	 0.04
15 	 335 	 -10.52   	 0.09
20 	 335 	 -8.07   	 0.16
25 	 335 	 -6.18   	 0.24
30 	 335 	 -4.67   	 0.34
35 	 335 	 -3.42   	 0.45
40 	 335 	 -2.37   	 0.58
45 	 335 	 -1.48   	 0.71
50 	 335 	 -0.72   	 0.85
55 	 335 	 -0.08   	 0.98
60 	 335 	 0.46   	 1.11
65 	 335 	 0.91   	 1.23
70 	 335 	 1.27   	 1.34
75 	 335 	 1.54   	 1.43
80 	 335 	 1.74   	 1.49
85 	 335 	 1.85   	 1.53
90 	 335 	 1.89   	 1.55
95 	 335 	 1.85   	 1.53
100 	 335 	 1.74   	 1.49
105 	 335 	 1.54   	 1.43
110 	 335 	 1.27   	 1.34
115 	 335 	 0.91   	 1.23
120 	 335 	 0.46   	 1.11
125 	 335 	 -0.08   	 0.98
130 	 335 	 -0.72   	 0.85
135 	 335 	 -1.48   	 0.71
140 	 335 	 -2.37   	 0.58
145 	 335 	 -3.42   	 0.45
150 	 335 	 -4.67   	 0.34
155 	 335 	 -6.18   	 0.24
160 	 335 	 -8.07   	 0.16
165 	 335 	 -10.52   	 0.09
170 	 335 	 -14.02   	 0.04
175 	 335 	 -20.02   	 0.01
180 	 335 	 -999.99   	 0.00
0 	 340 	 -999.99   	 0.00
5 	 340 	 -20.02   	 0.01
10 	 340 	 -14.02   	 0.04
15 	 340 	 -10.52   	 0.09
20 	 340 	 -8.07   	 0.16
25 	 340 	 -6.18   	 0.24
30 	 340 	 -4.67   	 0.34
35 	 340 	 -3.42   	 0.45
40 	 340 	 -2.37   	 0.58
45 	 340 	 -1.48   	 0.71
50 	 340 	 -0.72   	 0.85
55 	 340 	 -0.08   	 0.98
60 	 340 	 0.46   	 1.11
65 	 340 	 0.91   	 1.23
70 	 340 	 1.27   	 1.34
75 	 340 	 1.54   	 1.43
80 	 340 	 1.74   	 1.49
85 	 340 	 1.85   	 1.53
90 	 340 	 1.89   	 1.55
95 	 340 	 1.85   	 1.53
100 	 340 	 1.74   	 1.49
105 	 340 	 1.54   	 1.43
110 	 340 	 1.27   	 1.34
115 	 340 	 0.91   	 1.23
120 	 340 	 0.46   	 1.11
125 	 340 	 -0.08   	 0.98
130 	 340 	 -0.72   	 0.85
135 	 340 	 -1.48   	 0.71
140 	 340 	 -2.37   	 0.58
145 	 340 	 -3.42   	 0.45
150 	 340 	 -4.67   	 0.34
155 	 340 	 -6.18   	 0.24
160 	 340 	 -8.07   	 0.16
165 	 340 	 -10.52   	 0.09
170 	 340 	 -14.02   	 0.04
175 	 340 	 -20.02   	 0.01
180 	 340 	 -999.99   	 0.00
0 	 345 	 -999.99   	 0.00
5 	 345 	 -20.02   	 0.01
10 	 345 	 -14.02   	 0.04
15 	 345 	 -10.52   	 0.09
20 	 345 	 -8.07   	 0.16
25 	 345 	 -6.18   	 0.24
30 	 345 	 -4.67   	 0.34
35 	 345 	 -3.42   	 0.45
40 	 345 	 -2.37   	 0.58
45 	 345 	 -1.48   	 0.71
50 	 345 	 -0.72   	 0.85
55 	 345 	 -0.08   	 0.98
60 	 345 	 0.46   	 1.11
65 	 345 	 0.91   	 1.23
70 	 345 	 1.27   	 1.34
75 	 345 	 1.54   	 1.43
80 	 345 	 1.74   	 1.49
85 	 345 	 1.85   	 1.53
90 	 345 	 1.89   	 1.55
95 	 345 	 1.85   	 1.53
100 	 345 	 1.74   	 1.49
105 	 345 	 1.54   	 1.43
110 	 345 	 1.27   	 1.34
115 	 345 	 0.91   	 1.23
120 	 345 	 0.46   	 1.11
125 	 345 	 -0.08   	 0.98
130 	 345 	 -0.72   	 0.85
135 	 345 	 -1.48   	 0.71
140 	 345 	 -2.37   	 0.58
145 	 345 	 -3.42   	 0.45
150 	 345 	 -4.67   	 0.34
155 	 345 	 -6.18   	 0.24
160 	 345 	 -8.07   	 0.16
165 	 345 	 -10.52   	 0.09
170 	 345 	 -14.02   	 0.04
175 	 345 	 -20.02   	 0.01
180 	 345 	 -999.99   	 0.00
0 	 350 	 -999.99   	 0.00
5 	 350 	 -20.02   	 0.01
10 	 350 	 -14.02   	 0.04
15 	 350 	 -10.52   	 0.09
20 	 350 	 -8.07   	 0.16
25 	 350 	 -6.18   	 0.24
30 	 350 	 -4.67   	 0.34
35 	 350 	 -3.42   	 0.45
40 	 350 	 -2.37   	 0.58
45 	 350 	 -1.48   	 0.71
50 	 350 	 -0.72   	 0.85
55 	 350 	 -0.08   	 0.98
60 	 350 	 0.46   	 1.11
65 	 350 	 0.91   	 1.23
70 	 350 	 1.27   	 1.34
75 	 350 	 1.54   	 1.43
80 	 350 	 1.74   	 1.49
85 	 350 	 1.85   	 1.53
90 	 350 	 1.89   	 1.55
95 	 350 	 1.85   	 1.53
100 	 350 	 1.74   	 1.49
105 	 350 	 1.54   	 1.43
110 	 350 	 1.27   	 1.34
115 	 350 	 0.91   	 1.23
120 	 350 	 0.46   	 1.11
125 	 350 	 -0.08   	 0.98
130 	 350 	 -0.72   	 0.85
135 	 350 	 -1.48   	 0.71
140 	 350 	 -2.37   	 0.58
145 	 350 	 -3.42   	 0.45
150 	 350 	 -4.67   	 0.34
155 	 350 	 -6.18   	 0.24
160 	 350 	 -8.07   	 0.16
165 	 350 	 -10.52   	 0.09
170 	 350 	 -14.02   	 0.04
175 	 350 	 -20.02   	 0.01
180 	 350 	 -999.99   	 0.00
0 	 355 	 -999.99   	 0.00
5 	 355 	 -20.02   	 0.01
10 	 355 	 -14.02   	 0.04
15 	 355 	 -10.52   	 0.09
20 	 355 	 -8.07   	 0.16
25 	 355 	 -6.18   	 0.24
30 	 355 	 -4.67   	 0.34
35 	 355 	 -3.42   	 0.45
40 	 355 	 -2.37   	 0.58
45 	 355 	 -1.48   	 0.71
50 	 355 	 -0.72   	 0.85
55 	 355 	 -0.08   	 0.98
60 	 355 	 0.46   	 1.11
65 	 355 	 0.91   	 1.23
70 	 355 	 1.27   	 1.34
75 	 355 	 1.54   	 1.43
80 	 355 	 1.74   	 1.49
85 	 355 	 1.85   	 1.53
90 	 355 	 1.89   	 1.55
95 	 355 	 1.85   	 1.53
100 	 355 	 1.74   	 1.49
105 	 355 	 1.54   	 1.43
110 	 355 	 1.27   	 1.34
115 	 355 	 0.91   	 1.23
120 	 355 	 0.46   	 1.11
125 	 355 	 -0.08   	 0.98
130 	 355 	 -0.72   	 0.85
135 	 355 	 -1.48   	 0.71
140 	 355 	 -2.37   	 0.58
145 	 355 	 -3.42   	 0.45
150 	 355 	 -4.67   	 0.34
155 	 355 	 -6.18   	 0.24
